Frequency,Depth,Pitch,Speed,Behavioral State,Normalized Depth %,Individual,Species,Species_Num,Length ,Efficiency,Thrust Power,Drag Coefficient,Reynolds Number
0.47619,43.719,-7.5239,2.5445,,,6,Minke ,1,8.6209,0.87192,5593.4,0.022506,21011000
0.4,45.92,-5.5573,2.0372,,,6,Minke ,1,8.6209,0.86223,3230.6,0.025327,16822000
0.43478,46.264,-5.2686,2.3002,,,6,Minke ,1,8.6209,0.86896,4253.7,0.023167,18994000
0.35714,40.598,19.769,2.0359,,,6,Minke ,1,8.6209,0.88174,2465.9,0.019369,16812000
0.41667,39.055,16.489,2.4298,,,6,Minke ,1,8.6209,0.88494,3976.6,0.018375,20064000
0.38462,30.854,5.4518,2.3661,,,6,Minke ,1,8.6209,0.8938,3211,0.016068,19538000
0.35714,29.674,-4.924,2.1924,,,6,Minke ,1,8.6209,0.89374,2564.1,0.016129,18104000
0.32258,41.735,-19.351,1.9409,,,6,Minke ,1,8.6209,0.89075,1868.6,0.016941,16027000
0.43478,44.173,-6.2781,2.3209,,,6,Minke ,1,8.6209,0.87188,4252.2,0.022545,19165000
0.34483,39.142,-4.2985,2.1803,,,6,Minke ,1,8.6209,0.89929,2321.6,0.014848,18004000
0.22727,41.478,-0.01523,2.3437,,,6,Minke ,1,8.6209,0.95214,806.38,0.0041517,19354000
0.34483,40.668,-2.4152,1.8751,,,6,Minke ,1,8.6209,0.87501,2144.8,0.021565,15483000
0.30303,42.798,-5.9457,1.8859,,,6,Minke ,1,8.6209,0.89658,1571.2,0.015527,15573000
0.38462,36.552,43.804,1.7649,,,6,Minke ,1,8.6209,0.84429,2655.6,0.032018,14574000
0.37037,32.453,61.221,2.1696,,,6,Minke ,1,8.6209,0.88751,2772.9,0.017997,17916000
0.47619,27.619,73.814,2.3901,,,6,Minke ,1,8.6209,0.85894,5410,0.026265,19736000
